corp_name,corp_code
건영개발,1307423
건영기업,1070635
건영디앤씨,1221804
건영빌딩,1171989
건영산업,1173020
건영산업,1681680
건영산업,920698
건영산업,1079937
건영산업개발,1558470
건영스틸,1218855
건영에셋,1460953
건영오토,1137073
건영유통건설산업,262956
건영이레개발,673435
건영이앤디,1221646
건영이엔씨,1159437
건영이엔에스,625711
건영크린텍,1558957
건영테크,1136667
건오물산,373809
건완실업,667601
건용무역,679217
건우,1407422
건우,1365199
건우,1463710
건우,576512
건우공영,1548686
건우금속,1025802
건우기업,569105
건우기업,1285626
건우디앤씨,577867
건우메탈,682965
건우신공,1381559
건우씨엔디,449643
건우에스디,1368965
건우이앤씨,1104303
건우정공,371926
건우종합건설,837741
건우주택,1098561
건우주택건설,1360583
건우철강,1676004
건우캐피탈,425953
건우컴퍼니,1370632
건우피엠,523130
건우해양,615820
건웅,521442
건웅,1177372
건웅,1473054
건웅산업,895648
건웅제약,304696
건웅주택,623360
건원,1665345
건원건설,1217315
건원기업,414009
건원씨에이치투엠힐피엠씨,1498169
건원종합건설,1176188
건원종합건설,1382804
건융프로엔,530918
건은,1302002
건이개발,640206
건익통상,229517
건인,1400216
건인투자,840091
건인파트너스,495563
건일산업,452498
건일산업,1659292
건일스틸,867797
건일아이앤디,1659414
건일엔지니어링,521600
건일엠이씨,1455614
건일제약,101026
건일피디앤씨,691352
건일화학,337603
건잠디지털,261258
건종,1216981
건주디앤씨,1181454
건주종합건설,553344
건주테크,1369159
건중제이와이,978455
건진개발,1453041
건진건설,939119
건진기업,534118
건창개발,1401871
건창기업,1629398
건창산기,449500
건창운수,227786
건창이일,689621
건축과디자인,575285
건축사사무소건원엔지니어링,521770
건축사사무소광장,1437788
건축사사무소도움채,567295
건축사사무소뿌리건축,545831
건축사사무소아라그룹,1466744
건축사사무소테마공간,1533295
건축사사무소테크뱅크,1658196
건축사사무소한국포에이그룹,487209
건포유동화전문유한회사,512985
건풍산업,208930
건풍윈이엔지,838722
건하,1456464
건하인스텍,1399132
건하홀딩스,1577411
건한건설,967714
건한시스템,263061
건한주택,925994
건한컨테크,606080
건한홀딩스,1409590
건해건설,1553581
건향개발,1371251
건호이엔씨,1454837
건호전자,1098853
건호종합건설,1173710
건화,763394
건화,577627
건화,246781
건화,101053
건화,198590
건화,226617
건화,408372
건화,884606
건화공업,236632
건화기업,233936
건화메디팜,448769
건화약품,416821
건화이앤아이,168119
건화이엔지,863603
건화자원,208620
건화코포레이션,1238460
건황로지스틱스,765949
건훈,544726
건흥전기,1377398
건희,1415023
건희개발,430247
걸포도시개발자산관리,1513316
걸포시티제일차,1181612
검단,1147201
검단16파크,1563515
검단아스콘,965691
검단아트에스피씨,1643246
검단에이비십칠블록피에프브이,1476112
검단에코텍,542986
검단연세8,1632578
검단연세9,1632259
검단코아텍,1276211
검단투,1254149
검단파이프,926115
검바위솔라,1679384
게르마니셀로이드코리아,360364
게르베코리아,259165
게링코리아,299589
게스템프카테크,225326
게스홀딩스코리아,1480577
게이츠유니타코리아,523927
게이트고메코리아,1471180
게이트글로벌,1317396
게이트마켓,470953
게이트맨,636027
게이트비젼,1317402
게이트아이닷컴,267438
게이트웨이타워유동화전문유한회사,389402
게이트캐슬제일차,1489383
게이트타워에이엠씨,1155592
게인,261328
게인홀드,970000
게일인터내셔널코리아,896391
게임덱스,1646146
게임마케팅앤비즈니스,1015179
게임베리,1643316
게임벤처,363060
게임아이,333892
게임알로,550745
게임엑스포,352523
게임웍스,539645
게임인재단,1604627
게임파크,411622
게임펍,1304693
게임피아,653158
게임하이,609944
게임홀딩스,666532
게토코리아,382296
게티이미지코리아,1386855
게팅게메디칼코리아,1465444
겐츠베이커리,1453449
겜채널,458067
겜프스,1354485
겟모어증권중개,330798
겟앤쇼,1629680
겨레석재산업,927992
견우마을,933878
견우푸드,933887
경,623698
경관종합건설,970019
경광유통,688677
경국산업,551814
경기개발,836061
경기개발,1146327
경기개발산업,590691
경기고속,101062
경기고속도로,561662
경기공항리무진버스,865975
경기관광개발,564599
경기광업,982263
경기교육관리,812274
경기교통,175386
경기그린에너지,908359
경기김포교육,976439
경기꿈나무,673921
경기나눔교육,932532
경기남부도로,809775
경기남부수산업협동조합,1676244
경기남부학교관리,760333
경기뉴타운개발,537920
경기대학교산학협력단,1209918
경기대형트럭,1222405
경기도시가스,863490
경기도시개발,594350
경기도시공사,858373
경기동서순환도로,1309360
경기라이프,867265
경기리츠공공임대제1호위탁관리부동산투자회사,1458116
경기마트,1172492
경기미래체육발전,803391
경기미래학교관리,760315
경기미래학당관리,760324
경기바이오밸리,769088
경기방송,498728
경기버스,920102
